리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
Product received for free 아직 게임 컨텐츠를 완전히 즐긴 것은 아니나 2년차 여름쯤 됐는데 느낀게 많아서 한 번 써봅니다.게임이 매우 가벼워서 직장에서 퇴근하고나서 저녁먹고 1~2시간씩 즐기기에 딱입니다.대전/팀게임을 하다가 지친 분들에게 이 게임을 강력 추천합니다.하지만 반대로, 성격이 급하거나 빨리빨리가 중요하신 분들에게는 매우 비추천합니다.게임의 템포는 매우매우 느린 편입니다. 그만큼 느긋하고 마음을 비우고 게임을 하셔야 제대로 즐기실 수 있습니다.스포일러나 게임을 제대로 즐기실 분들은 나무위키나 타 공략은 절대 보지 않으시는걸 추천드립니다. 저도 2년차 여름 (60시간) 들어가서야 공략을 보기 시작했습니다.게임의 장점은 매우 많아서 하나하나 설명하기가 힘들지만, 그 중에서도 분명 단점은 있습니다. 제가 느낀 단점을 말씀드리자면..1. 강한 채도게임의 채도와 색 농도가 매우 강해서 눈이 아픕니다.밤에 가끔 농사일을 이어갈때가 있는데, 주변이 밝은 남색이라 눈이 아픈 경우가 있습니다.특히 바다에서 낚시할 때 주변이 원색에 가까운 파란색이라 낚시가 끝나고 나면 눈에 급격하게 피로감이 몰려옵니다.2. 부실한 세이브 시스템게임 세이브는 침대에 눕거나 기절해야 세이브가 됩니다. 그래서 중간에 끄고 싶어도 무조건 침대로 가서 잠에 들어야 세이브를 하고 끄게 됩니다.게다가 클라우드 시스템도 부재여서 다른 플랫폼에서 게임을 즐기고 싶으면 수동으로 게임 세이브 파일을 찾아서 다른 플랫폼으로 옮겨 게임을 해야 합니다.이제 되네요 찐갓겜됨	127.3	7	0	58	2021	1	1
16000원이 아깝지 않은 힐링게임정말 갓겜입니다ㅠ_ㅠ 넘 재밌어요~ 짱짱추천!!	144.5	8	0	133	2018	3	1
마음의 안정을 찾을려고 농사나 지을까 하고 샀는데 연애요소가 있어서 놀랐다.정작 농사는 1년만에 질렸는데 여러 npc 호감 10찍어가면서 연애 스토리 보는 재미가 있었음.2d라 그런지 오글거리는 점도 없었고.	24.2	6	1	60	2016	12	1
원가주고샀는데 후회않함 고민중이라면 지르세요...	91.4	24	4	15	2017	6	1
아기자기하고 귀여움 시간이 자꾸 삭제됨	143.8	5	0	76	2016	10	1
치ㅡ유	64.2	0	0	41	2019	1	1
귀농힐링 게임 X타임킬링 게임 O	13.5	11	3	162	2017	4	1
하루하루 농사짓고 낚시하고 광질하고 팔고 하는게임인데 재밌습니다수집하는재미 탐험하는 재미 엔피시 공략하는 재미(?)저장이 하루지나야지만 되는것이 불편할수도 있는데 오히려 게임을 집중하게 만드는 요소가 된거같네요 하루지나면 밖이 궁금해서 계속 하게됨..	80.2	8	1	392	2016	3	1
가격부터가 다른 귀농겜들 2만원 받는데 얘는 16000원 14.99달러 받음용량이 400메가 정도인데 디테일함이 미친수준세일폭이 낮은편이라 정가로 사는것도 추천함	4.6	7	0	220	2019	1	1
그냥 하면서 뭔가 편하고 따뜻한 기분이 드는 게임	40.3	8	0	476	2016	11	1
귀농 힐링게임을 표방하는, NPC 꼬시는 게임 하루 한 번뿐인, 일률적이고 제한적인 NPC와의 대화가 참 아쉽지만호감도가 오를 때마다 생기는 이벤트가 아주 다양함.게임 플레이도 정말 재밌음. 처음에 딱 접했을 땐 정말 시간 가는 줄 모르고 계속하게 됨. 하루만... 하루만 더... 하다가 한참 뒤에야 끄게 되는 그런 게임.점점 성장해가는 농장을 보는 맛이 쏠쏠함.그러나 성향에 따라 굉장히 빨리 질릴 수 있을 것 같음.너무 급하게 진행하려 하지 마시고 여유롭게 하시는 걸 추천드림.+ 적절한 모드 활용은 정신 건강에 좋습니다.	113.1	9	1	47	2017	7	1
캬	94.9	4	1	115	2016	9	1
전작 스타바운드가 반쪽자리 게임이었다면 이건 한 80-90%짜리멀티플레이 요소의 부재나 사소한 버그때문에 100% 게임이라고는 못하지만 노가다나 소소한 재미만으로도 이미 갓겜의 경지꾸준한 업데이트와 패치만 있다면 정말 완벽한 킬링타임용 게임같은 시기에 나온 파크라이 프라이멀보다는 훨씬 살 가치가 있습니다.	806.3	21	8	515	2016	3	1
띵작	50.4	9	1	113	2017	7	1
신혼겜	132.0	5	1	74	2021	5	1
힐링 노가다 겜	49.0	6	0	34	2021	1	1
모여봐요 갬빗의숲	41.0	4	1	83	2020	6	1
다 재밌고 너무 좋은데요 멀티 할때 자꾸 튕겨요...ㅠㅠIt's all fun and wonderful. But when you do multimode, you get a problem that keeps leaving. TOT	65.9	7	1	2	2020	1	1
하나하나 숨겨져있는 소소한 이스터에그와 향수를 자극하는 도트 그리고 매력적인 등장인물들힐링게임중 최고라고 생각합니다-초상화 리텍은 필수	43.5	6	2	279	2019	9	1
인생게임... 세바스찬 사랑해	421.0	7	1	31	2019	5	1
고전게임 하베스트 문을 생각나게 하는 게임.기본적으로 농장을 경영하면서 가축키우기, 자원모으기, NPC 호감도 올리기, 층수를 계속 내려가면서 던전을 탐험하는 등 제법 다양한 컨텐츠가 마련되어있다. 할 게 많이 없어보일 것 같지만 정작 하다보면 할 일이 많은데 하루가 모자라는 혹은 에너지가 부족한 게임.지속적 업데이트가 이뤄지고 있으며 후일 코옵도 업데이트할 예정이라 하니 기대되는 점이다.현재 가격인 16000원의 가치를 충분히 혹은 그 이상을 하는 게임이라고 볼 수 있다.	16.7	8	0	299	2016	3	1
이게임 포멧하기전까지 삭제 못하고있다가 삭제함 휴..못끌게임이라 안킵니다..ㅠㅠ하지만 하고싶을때 언제든지 가서 힐링할생각임다그리고 처음부터 카페가서 모드넣고 하지마세요 ㅋㅋㅋ 엔딩다보고 해볼꺼 다해보고 하셔도 늦지않아요 저는 중간부터 그래가지고 아직도 엔딩 못봤는데 100시간이 넘었습니다 ㅋㅋ1년밖에 못즐겼는데 모드에 눈이 멀어버리고 말았어요	277.9	5	2	25	2019	3	1
농사짓고힐링하려했는데 왠지 돈에집착하게됩니다역시돈이최고야	513.5	4	3	32	2018	11	1
이거 6시 내고향이여	55.5	8	18	1468	2018	4	1
정말 정말 재밌다.특히 노가다 좋아하는 농장게임 or 타이쿤 좋아하면. 그리고 결혼하고 연애하는것에 제한이 없어서 그게 맘에 들었다.여자캐릭터라도 여캐와 연애 할수 있고 결혼도 할수있고, 다다 맘에 든다. 멀티가 꼭 나오길.	84.6	7	0	34	2017	9	1
단순하지만 정말 재미있다.	119.6	4	0	379	2016	10	1
정신차려 보니 플레이 타임이 120시간.. 내일까지만 내일까지만 하다가 봄 넘기고 여름 넘기고 가을까지만 보자 하다가 1년을 보내버리는 현실시간 훔쳐가는 도둑게임;;	133.3	5	1	21	2018	12	1
세일 기간 못 기다리겠어서 그냥 제값주고 구매했는데 전혀 후회 안해요! 진짜 재밌어요!시간 가는줄 모르고 하게 됩니다 ㅠㅠㅠ 진짜 인생 게임이에요! 강추! >.<)b	37.2	7	4	6	2018	1	1
배경음악이 진짜임	113.4	4	0	103	2017	11	1
무슨 설명이 필요한가? 사라 무조건사라~ 말이필없는 갓겜!! 컨텐츠도 되게많음	204.6	6	3	96	2017	3	1
힐링겜중에 젤 괜찮다고 생각함 일단 생각없이 하기에 젤 좋고...근데 이번 베타나와서 해봤더니 강제 시골 노예체험하게 되더랔ㅋㅋ 일단 주요 이벤트 자체를 농장 주인만 볼 수 있고 농장 실 소유주와 멀티 참여한 사람이 따로 나뉘어져 있어서 일만 하는 노예 느낌을 좀 지울 수가 없음.반려동물도 실소유주가 선택해서 입양하게 되어있음.베타니까 라고 생각하고 하면 나름 오류등등도 봐줄 수 있다고 생각함. 정식 나올때 고쳐지겠지.같이 동굴 가면 나방소리 계속 재생되고 안끊겨서 효과음도 죽이고 플레이했음...버그는 있지만 할만하고 나름 재밌다.나는 돈안아깝다고 생각하는 게임임.	154.7	4	5	53	2018	6	1
힐링게임!이지만어느 순간 농장이 아닌 공장이 되어있는 본인 집을 확인하실 수 있습니다 ㅋㅋ개인적으로 처음에는 낚시가 어려웠는데 좋은 낚시대 구입 후부터는 수월했습니다!	110.0	6	2	15	2021	1	1
도트 힐링겜	176.2	9	1	33	2019	10	1
너무 힐링되서 시간 가는 지도 모르겠다	68.7	4	1	43	2017	7	1
간편한 서버관리와 모드 적용이 정말 큰 장점으로 다가오는 게임이에요. 초반에는 할일이 많은데 빨리 지쳐서 많이 답답할 수 있지만 성장하는 나의 농장과 집, 그리고 재산을 느껴보세요. 나는야 부자가 될거야 :)	89.2	7	0	131	2021	3	1
문명 = 한턴만...더스타듀 밸리 = 하..하루만 더	108.7	5	4	238	2016	5	1
세일 자주함 컨텐츠 많음 멀티=갓겜	185.1	9	1	36	2018	8	1
평화롭습니다. PVP모드만 추가되면 완벽하겠네요.	3.3	4	6	189	2019	3	1
이 게임은 만 육천원짜리 게임입니다.치킨 한마리 시켜먹을려면 요즘 만오천원에서 이만원 정도 하지요?저는 이 게임을 시작하고 난 뒤에 치킨값을 아끼고 있습니다.집에 와서 배고프면 습관처럼 시켜먹던 치킨. 하지만 요즘은 습관처럼 스타듀벨리를 킵니다. (게임상에서) 하루만 더 할까?... 아냐 다음날 아침에 저장되면 끄고 치킨 시켜야지다음날 아침이 되면 또 집 밖을 나가서 닭 모이 주고, 버섯 캐고, 물 주고, 편지 확인하고, 이것저것 하다 보면어라, 하루만 더 하면 돈이 들어올 것 같습니다. 그래서 또 하루...이런식으로 하다 보니 시간이 늦어져 실제 치킨을 시키는걸 거른 것이 서너번.이 게임은 안시킨 치킨 값으로만 이미 개이득입니다.살이 좀 빠지고 있는건 더 개 이득입니다.시간이 많을 땐 느긋하게 하고,보고싶은TV프로나 방송 기다릴땐 하루 이틀 정도만 하고....그냥 그냥 갓 게임입니다.사는게 이득입니다 무조건사세요.	75.8	7	12	186	2016	4	1
진짜 추천하는 게임. 닌텐도 목장이야기에서 영감을 얻었다고 하더니 비슷한 느낌이면서도 달라서 만족스러워요. 도트게임에서 감정표현들이 다 보여서 재밌네요. 지금 게임상으론 6년, 현실시간으로는 200시간 넘게 하는데 재밌어요. 200시간 넘어갈 때즈음엔 조금 지루해서 스마피로 모드 깔고 하고 있어요. 재밌습니다. 다만 목표를 모두 달성하고 나면 할 게 없다는 게 힐링게임의 공통단점인 것 같아요. 꾸준히 업데이트는 해주지만 그 시간텀이 무척 길어서 많이 기다려야 하는 단점이 크지만 그래도 재미있는 게임.	260.1	6	0	4	2020	10	1
2년차 초반, 번들완성 전까지 할만한 게임플레이어가 스스로 목표를 세우고 다양한 귀농생활을 즐길 수 있도록 게임디자인이 잘 되어있다. 컨텐츠도 풍부하고 정해진 시간내의 일과를 정하는데 있어 자유도 역시 높은편. 하지만 번들완성 이후로는 목표의식도 많이 사라지고 2년차부터 반복되는 컨텐츠가 많아서 빨리 질리는 단점이 존재한다.그래도 거기까지 플탐 한 40~50시간은 가볍게 뽑는지라 돈 값어치 하나는 제대로 하는 게임이다.	67.3	9	0	162	2018	10	1
지금 패니랑 같이 살고잇고요.내년봄되면 아비게일이랑 춤출 예정입니다.작년에 패니가 샘이랑 춤췃거든요.	116.1	6	27	548	2016	10	1
아무생각 없이 하다보면 몇시간 지나있는 게임제발 비좀 왔으면 하는 게임	18.0	10	2	42	2019	1	1
처음에 할 때 테라리아랑 비슷한데 뭔가 속도감이 느려서 접었다가,멀티기능이 생겼다고 해서 멀티하다가 친구랑 시간 안맞아서 접었다가,한글패치 베타버전이 나왔다고 해서 3트째 하는데 시간만 굉장히 잘 가네요. 갓겜까지는 모르겠습니다.	64.5	9	3	1122	2019	2	1
테라리아를 하고 있었는데 언더테일이 나왔다언더테일을 하고 있었는데 스타듀밸리가 나왔다....끝이 없는 인디의 세계	89.0	9	10	145	2016	4	1
조자마트 굿	86.8	4	2	239	2019	7	1
울나라 가수에 장범준이있다면 게임계는 아마도 스타듀밸리 개발자가 있을듯..	529.5	7	2	217	2018	3	1
인생게임♥	191.9	7	1	25	2020	6	1
친구, 연애, 야겜 까지 할수 있는갓.갓.겜	28.7	6	1	61	2020	12	1
나긋한 농촌 힐링 게임	97.0	10	1	109	2018	7	1
내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘! 내 시간 돌려줘!	347.8	6	5	41	2021	9	1
기대는 안하고 사서 해봤는데....대충 스토리는 귀향해서 농경생활을 즐기는 건데 하다보면 이것저것 파밍하고 마인크래프트 도트버전에 뭔가 목적의식이 추가된 느낌이랄까요. 거기다 모드지원도 되기 때문에 스타일에 맞게 게임을 개조할수도 있습니다.중독성,모드지원 이게 게임을 잘살렸네요.	11.5	7	0	1628	2016	3	1
아직까지 1년차 봄을 모두 보내지도 않았고 많이 하지도 않았지만 엄청엄청 재미있어요!평화로운 분위기와 많은 수집 요소를 좋아하시는 분들에게 추천드려요!그리고 최대한 공략은 보지 마시면서 하는게 좋습니다!	90.3	7	3	69	2019	1	1
다 좋은데멀티플레이도 만들어 주시길 ..	59.0	8	3	168	2016	3	1
이것은 갓겜. 1회차를 했는데 질리셨다구요? 2회차를 하십시오. 인생은 깁니다. 모든 마을 주민을 공략하세요.	362.2	5	2	82	2017	12	1
농사+수집+힐링+도트박이8/10	191.1	4	2	177	2017	12	1
체 고 애 힐 링 게 임 ! !	45.6	3	0	52	2020	4	1
ntr 게임	92.9	5	2	103	2020	9	1
짜잔 소환의대가 윌프레드 피즐뱅입니다	83.3	9	4	164	2017	5	1
"돈스타브에 이은 나의 최애겜이다.조랑말을 타고 초원 위를 달릴 때는 난 그 누구보다 ""핵인싸""였다.개간지...... 돈스타브는 나의 생존을 위해 했다면스타듀밸리는 나를 너무도 하고싶게 만든다.그래서 새벽2시에 바닥에 처잘 때가 다반사. 그깟 1000골드 쯤 쿨하게 버릴 수 있을 만큼 꿀잼보장.우리 농장주는 꼬박꼬박 재워도, 정작 플레이어는 자지 못한다...ㅜㅋㅋㅋ"	273.8	4	2	12	2019	1	1
말이 필요한가 너무 재밌다 이런 오픈 월드형 노동 게임은 의지 부족해서 잘 못 했는데 너무 재밌음 리텍하니까 재미가 배 꾸준한 업데이트로 기존에도 너무 많아서 다 못 봤던 이벤트들도 계속 늘고 이게 1인 제작 게임이라는 게 믿기지도 않음 다만 아무 공략도 보지 않고 처음 하는 사람들에게는 다소 어려운 부분이 있을 수도 있을 듯 오래 하다 보면 다 알게 되겠지만 그래서 2회차부터가 진짜 시작 1년만에 다시 켰는데 기억 초기화 돼서 고인물인 내 농장과 달리 나는 청정수가 됏다....	155.8	8	1	35	2020	4	1
SIBBA GOD GAME	74.9	6	12	33	2018	3	1
스타듀밸리에 사느라 현생을 조금 잃어버릴 수 있다는 거 말곤 좋아요	16.9	3	4	57	2020	7	1
힐링되는 갓갓겜	270.9	7	0	19	2020	2	1
갓겜	301.8	7	1	27	2020	3	1
[74]	182.5	8	3	1356	2020	10	1
3백시간 넘게 했는데 아직도 재밌다 싱글플레이 하다가 멀티 업데이트돼서 요즘도 재밌게 하고 있음	315.3	5	0	63	2018	11	1
goooooood	397.0	5	3	1	2018	5	1
재미있어유~	57.8	5	5	243	2018	5	1
Product received for free 아... 게임 개노잼 할거 겁나 없네 컨텐츠가 부족하네...	375.8	14	8	198	2020	7	1
지금까지 했던 힐링게임중에 최고인것 같습니다. 단지 농사짓는게임이 아니라 여러가지로 할 수 있는것에 놀라고 게임속 여러 npc들과 호감도를 올릴수도 있고 호감도를 올리다 보면 결혼도 하여 아기 까지 낳는것에 또 놀랐습니다.(처음에는 농사짓기 개힘들지만 나중에는 수월해짐)지금까지 했던 힐링게임중 최고였지만 힐링게임이라도 나중에 가면 힘들더군요;;힐링으로 중간중간 또 시간보내기에 정말 좋은 게임인것 같습니다.	117.2	4	0	51	2017	1	1
http://team-sm.tistory.com/78갓겜 스타듀벨리! 한글화패치 나왔어유모두들 지르세양!	650.6	6	0	117	2016	3	1
완전 노가다게임인디 진짜 나는 못	67.7	4	1	67	2018	1	1
같이하면 힐링	69.5	4	0	45	2021	9	1
사람들은 노가다게임이라고 욕하는분들도 보이는데 그건 플레이나름이라고봅니다 근데 저는 노가다하더라도 지금까지는 충분히재밌고 딱봐도 100시간까지는 무리없을게임으로 보임 강력추천함	29.3	5	0	13	2021	8	1
노오오오가다아아아아지만 친구랑하면 꿀잼 즐길거 많고 낚시 꿀잼s~	123.2	4	2	58	2021	6	1
노동게임 개꿀잼 ㅎㅡㅎ!	170.4	6	0	20	2021	4	1
꿀잼	48.7	7	0	107	2021	3	1
꿀잼	72.1	3	0	16	2020	9	1
굿맨 메잌스 굿게임	37.3	5	5	29	2020	6	1
완벽한농장겜	185.7	3	0	97	2019	12	1
이게임은 정말 처음에는 오지게 노가다하고 힘든데 하다하면 할수록 노가다도 재밌고 매력있는 게임입니다. 농사하고 키우시는 게임 좋아하시는분들 스타듀밸리 꼭 추천드립니다~!	1108.6	5	4	35	2019	5	1
농사겜 멀티하고 싶어요ㅠㅠㅠㅠㅠ 같이 할 사람이 없어요ㅠㅠㅠㅠㅠㅠ	33.9	3	0	120	2018	11	1
현실 농사 짓는데 게임에서도 농사짓고 있음	104.6	3	1	151	2018	11	1
파밍해	31.3	3	0	116	2018	10	1
정말 재미있어요요 하다보면 시간 엄청 빨리가네요	181.9	3	0	85	2018	9	1
내 인생을 갉아먹어버린 인생게임	127.0	4	0	9	2018	8	1
Product received for free 혼자서 가볍게 하기 좋습니다.	866.4	3	0	63	2018	7	1
현실에선 못만드는 여친을 만드는게임	189.5	3	3	124	2018	5	1
효리네 민박보다 더 힐링되는것을 찾았습니다.	6.3	6	4	59	2018	1	1
친구추천으로 시작한 게임.처음엔 그냥 내 농장을 키우자는 생각으로 인관관계 하나도 신경 안쓰고 플레이함.그리고 조금 돈에 여유가 생겨서 집도 키우고 연애도 시작함.그런데 이 NPC 스토리 보는게 재미있더라.지금은 모든 캐릭터를 다 꼬셔보는게 목표.결혼은 그 후에 차차해야지.	116.8	4	0	90	2018	1	1
나는 이 게임에서 미연시를 했다!	38.0	3	3	60	2018	1	1
그냥갓겜 시간가는줄 모름	102.5	5	2	279	2017	12	1
갓겜입니다ㅠㅠㅠㅠㅠㅠ	434.5	6	0	31	2017	10	1
매우만족,개꿀잼 게임에 시간가는줄모르고하는게임	220.6	4	2	43	2017	8	1
평이 정말 좋아서 샀는데 이상하게 한 번 하고 다시 안들어가고있어욤 제 취향이 아닌듯... 하지만 아기자기하고 꾸미는거 좋아하시는 분들에겐 제격일 듯 합니당 ㅎㅎㅎ--------------------------------------멀티로 하니까 개꿀잼이네요 ..	140.8	3	0	65	2017	7	1
지친 생활을 견디고 지내다보면, 언젠가는 귀농을 해서 여유롭게 살고싶다는 마음을 먹게되죠. 피 튀기는 액션, 잔혹한 싸움, 각종 전쟁에 지친 우리들도 여유로운 게임 생활을 위해 귀농 게임인 갓-타듀밸리를 해보는 것은 어떨까요?라는 마음으로 시작했지만, 싸우는 게임보다 할게 많습니다. 역시 저는 바쁜 도시인의 생활이 맞나봅니다.	95.6	3	2	691	2017	7	1
사람들이 하도 스타듀밸리 그러길래 재밌겟나 의구심을 좀 가짅 채 샀던게임근데 의외로 시간가는 줄모르고 햇음 농장꾸미기도 나름 재밌고 낚시도 재밌엇음 호감도는 귀찮은데 안하면 안될거 같은 기분이 들고 ㅋㅋㅋ아쉬운건 멀티부족 2회차 요소 부족 정도? 그래도 200시간 넘게 했음 추천	292.4	3	3	122	2016	7	1
스팀에 있는 게임 중 이렇게 오래한 게임 처음이네여 ㅋㅋㅋㅋㅋ정말 재밌게 하고 있습니다! (아직 진행 중)	348.0	3	1	408	2016	6	1
진짜 이거 만든사람 정말 고마운 분이심...인디게임으로 좋은스토리,배경,브금,캐릭터 다 완벽합니다.이거하는데 진짜 시간가는줄도 모르고 밤샌적이 하루이틀이 아니였음별다섯개 강추 ★★★★★	128.8	3	0	573	2016	3	1
갓겜	263.9	3	1	174	2016	3	1
말이 필요없는 갓겜이다 할인안할때 사도 아깝지 않다~!후반 콘텐츠가 부족하더라도 100시간 플레이는 보장됨	146.0	3	0	44	2019	10	1
존잼 해도해도 끝이없고 친구링하면 더더욱이에열 꼭해보삼	75.4	5	0	21	2019	3	1
인생갓겜입니다~ 킬링타임으로 죽여요~ 아주 재미져요~	225.0	3	1	41	2018	12	1
구매전 : 뭐 재밌어봤자 얼마나 재밋겠어!구매후 : 내 100시간 어디갔지?	157.1	3	7	27	2017	12	1
갓겜	1.3	4	0	432	2017	11	1
실행 하자마자 힐링 돼버렸다갓겜	90.5	3	0	511	2017	11	1
마약이다 마약오늘 하루만 일정끝낸후 세이브하고 끝내야지이말만 하루종일 되새기면서 한듯	86.4	5	0	220	2016	10	1
힐링겜	98.2	4	0	53	2018	3	1
힐링하기 좋은 게임입니다소소하게 밭 일구고 퀘스트하고 동물들 키우는게 너무 재미있습니다 제 농장이 소소하다는 의견을 듣곤 하지만 제가 할 수 있는 플레이 속도에 맞춰서 힐링 느끼면서 할 수 있어서 더 재미있는 것 같습니다저는 아직 npc 호감도는 안올리고 있는데, 호감도 올려서 결혼도 하고 하면 더 재미를 느끼실 것 같네요하다보면 귀농하고 싶지만 현실의 농장생활은 매우 힘들겠죠?스타듀밸리로 만족하겠습니다 ^~^	38.2	4	0	12	2021	3	1
당신은 할 수 있다 귀농을!찌들은 당신 도시속에서이제 간다 농장으로!문명같다 마치!시간이 훅간다!갓겜이다 동성결혼도 된다. 추천한다. 화이팅이다.검색해보면 많은 모드도 있다. 추천한다.재밌다 구글번역기체로 쓰는것.사라 두번사라 하고 두번하고 세번해라 재미있다.-----아래는 수정 후 작성 된 부분입니다-------멀티로 재밌게 즐기고 있다.이후 업데이트로 집 간격과 소득분배 등 나눌 수 있고 맵이 새로 생겨서 좋다.조자마트 번들의 이점을 위해 컨텐츠가 추가 된 부분도 좋다.다만 많이 하다보면 하던 것의 반복이기에 뭔가 다양한 요소가 더 나오면 좋겠지만 그것은 힘들 것 같다.현재도 베타일지는 모르겠지만 멀티로 배틀로얄같은 모드도 있다고 한다.해보게 된다면 추가로 수정과 함께 후기를 작성하겠다.	286.7	3	1	48	2018	2	1
개꿀	105.8	3	0	60	2018	5	1
힐링 게임! 어렸을때 닌텐도 목장이야기 생각나서 한번 해봤는데 재밌네요! 멀티도 되서 취향 비슷한 친구랑 재밌게 함!! / )|￣|／ └┐| | ｜いいね！|＿|―､＿ﾉ	190.1	5	1	71	2020	12	1
장점1. 유년 시절을 떠오르게 하는 픽셀 그래픽2. 탄탄한 스토리 라인(의외로) 여러가지 요소들이 들어가 있음 3. 농사 짓고 이전에 타이쿤 류를 즐겨 하신 분들을 위한 오랜만에 나온 좋은 게임4. 나중에 멀티 플레이어 출시 예정이라는데... DLC로 나올지는...5. 버그는 있지만 치명적으로 게임 자체가 터지는 버그는 그닥6. 1인 개발자치고 의외로 높은 BGM 등의 완성도(사실 1인 개발자로 만든게 믿기지가 않음;;)7. 컨트롤러도 지원하고 키보드 마우스 UI도 괜찮음 단점1. 번역판이 없습니다. 한글 번역 필요하신 분들에게는 ㅠㅠ2. 시간 날려먹는 타임 머신류...(문명 시리즈 연상)-> (밤에 자기전에 잠깐하려다가 해 뜹니다.)3. 세이브 방식 자야 되는 거라 중간 저장이 안됨 (한번의 사이클을 완료 해야 저장 가능)4. 튜토리얼이 짧아 초반 헤멜 가능성이 조금 있음(장점이자 단점이라 생각되는 부분... 일일이 친절하게 알려주기 보다 알아가는 재미가 있음?)어렸을 때 게임보이 Harvest Moon 이라는 게임이 많이 떠오르게 되네요.이런 게임이 안 나온지 좀 되어서 2년전에 개발 소식듣고 임대기열에서 구매 가능이 뜨자마자 산 게임$16 정도로 제 100시간을 앗아간 위험한 게임입니다.중간중간 작은 컷씬도 나름 재미있는 거 같네요.개발자가 워낙 열성적이라 컨텐츠 후 추가도 기대해도 될거 같네요. 제 평점은 8/10	96.1	6	0	10	2016	3	1
---{Graphics}---○ 기가막힘 ○ 아름다움● 괜찮음○ 어지간함○ 봐줄만 함○ 별로임○ 끔찍함 ○ 특색있음---{Gameplay}---○ 중독되지 않게 조심○ 굉장히 좋음 ● 좋음○ 평범함○ 음..○ 별로임○ 끔찍함 ---{Audio}---○ 하으읏● 굉장히 좋음○ 좋음○ 어지간함○ 크게 나쁘지 않음○ 나쁨○ 귀갱 ---{PC Requirements}---○ 계산기 구동만 가능하면 됨● 좋지 않아도 됨○ 어지간해야함○ 빨라야함○ 존나 좋아야함---{Difficulity}---○ 버튼 몇개 누름○ 쉬움○ 신중한 플레이를 요함● 배우긴 쉽고 / 마스터는 어려움○ 쉽진 않음○ 어려움○ 소울 라이크 ---{Story}---○ 소름돋음○ 기가막힘○ 좋음● 평균○ 훌륭하진 않음○ 그딴거 없다 ---{Game Time}---○ 끝없음○ 굉장히 김● 김○ 플레이어에 달려있음○ 짧지 않음○ 짧음○ 커피 한잔이면 충분함 ---{Price}---○ 당장 사야함○ 고민하고 사야함● 세일할때○ 만약 돈이 많다면..○ 사지마○ 돈을 버리지 마시오 ---{Bugs}---○ 아예 없음○ 플레이에 영향이 없는 버그 아주아주 조금● 거의 없음○ 약간 있음○ 화날 수 있음○ 게임을 망침○ 게임이 자체로 버그임	32.7	4	2	160	2019	4	1
농사짓고 낚시하고 집 꾸미면서 힐링할 수 있다. 4년차까지 정신없이 하다가 어느순간 현타와서 접었던..이번에 멀티가 나와서 다시했는데 같이 하는 거 외엔 큰 변화를 못느끼긴 했음. 그래도 본래 캐릭으로 6년차 찍고 집 확장하고 금시계까지 얻었다. 다른 게임처럼 경쟁에 치이고 압박받고 할 일이 없어서 정말 맘 편하게 할 수 있는 게임.	299.8	6	0	38	2018	10	1
계속 하고 싶어지는 게임 깨알같이 컨텐츠가 숨겨저있고 NPC가 좋아하는 음식, 물건등이 다 다르고 해서 재밌다.힐링 갓겜한글패치좀	101.8	5	0	53	2018	10	1
일부다처제, 동성결혼을 지원해 취향이 독특한 사람들도 거부감없이 즐길수 있는 초갓게임이번에 멀티가 지원되면서NTR취향을 가진사람들도 직.접.겪어볼수 있는 이 세상에 존재하는 가장 위대한 미연시	13.8	4	7	87	2018	5	1
지금도 깡촌에서 사는데 여기서도 귀농함ㅋㅋ	88.1	6	4	79	2017	8	1
힐링겜이라고 제발 왜 돈에 집착해 왜 사랑에 집착해 왜 업적에 집착해그냥 농사 지으면서 사랑도 하고 평화롭게 살라니까?	69.7	9	7	77	2018	9	1
